Station,State,District,Latitude,Longitude,rainfall_mm,timestamp,source_file
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2014-05-28 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,7.0,2014-05-29 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2014-06-02 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-06-06 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,10.0,2014-06-08 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,18.0,2014-06-09 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-06-11 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,7.0,2014-06-13 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,14.0,2014-06-14 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2014-06-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,6.0,2014-06-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2014-06-17 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,25.0,2014-06-18 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-06-19 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,50.0,2014-06-20 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-06-21 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,54.0,2014-06-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,15.0,2014-06-23 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,19.0,2014-06-24 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-06-25 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,9.0,2014-06-26 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,88.0,2014-06-27 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,6.0,2014-06-28 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,20.0,2014-06-30 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-07-02 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2014-07-04 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,35.0,2014-07-06 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2014-07-08 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,6.0,2014-07-09 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2014-07-11 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2014-07-12 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-07-13 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,13.0,2014-07-14 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,22.0,2014-07-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2014-07-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,14.0,2014-07-18 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-07-19 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,33.0,2014-07-24 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2014-07-25 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,24.0,2014-08-01 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,45.0,2014-08-03 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,12.0,2014-08-04 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2014-08-07 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,62.0,2014-08-08 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-08-10 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
