SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
108,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,17-02-2014 08:30,5
109,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,18-05-2014 08:30,1
110,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,22-05-2014 08:30,6
111,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,23-05-2014 08:30,5
112,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,26-05-2014 08:30,87
113,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,28-05-2014 08:30,5
114,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,29-05-2014 08:30,7
115,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,02-06-2014 08:30,2
116,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,06-06-2014 08:30,1
117,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,08-06-2014 08:30,10
118,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,09-06-2014 08:30,18
119,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,11-06-2014 08:30,1
120,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,13-06-2014 08:30,7
121,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,14-06-2014 08:30,14
122,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,15-06-2014 08:30,2
123,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,16-06-2014 08:30,6
124,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,17-06-2014 08:30,3
125,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,18-06-2014 08:30,25
126,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,19-06-2014 08:30,1
127,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,20-06-2014 08:30,50
128,AWRMI Office Campus,Assam,18,Assam,618,Kamrup Metropolitan,Rani,-,-,-,-,-,-,-,-,26.10269444,91.79509722,21-06-2014 08:30,1
